Методика	Когда использовать	Какую боль снимает	Что делает / в чём суть
Только 3 инструмента	Когда сложно начать, нет идеи	Перегруз выбора, хаос в аранжировке, расплывчатость идеи	Пользователь собирает трек, используя только три источника звука, например: барабаны, бас и один лид
Трек за час	Когда сложно начать, нет идеи и когда опыт выше Новичка	Перфекционизм, прокрастинация, бесконечное ковыряние в деталях	За один час нужно собрать скетч с началом, серединой и концом, не залипая на правках
Нельзя начинать как обычно	Когда сложно начать, нет идеи	Автопилот, повторяемость, застревание в собственных паттернах	Если обычно старт идёт с аккордов — нужно начать с ритма; если с бита — с текста, атмосферы или вокального хука
Рандомайзер жанров	Когда не получается написать аранжировку	Однообразие, вторичность, потеря свежести	Пользователь получает неожиданную жанровую комбинацию, например: “добавь джаз в электронику”
Настроение-парадокс	Когда сложно придумать текст, трек кажется эмоционально банальным или слишком прямолинейным	Шаблонные эмоциональные решения, слабый образ, отсутствие глубины	Пользователь собирает идею из двух несовместимых состояний, например: “тревожная радость”, “холодная нежность”, “уверенная тоска”
Сначала карта, потом звук	Когда есть куски и идеи, но не видно структуры трека целиком	Проблемы со структурой, разрозненность материала, слабое чувство композиции	Сначала трек описывается словами: напряжение, разрядка, провал, новый подъём — и только потом собирается звуком
Припев без куплетов	Когда у трека нет центра, сильной кульминации или хука, не получается написать структуру	Слабый припев, расплывчатость идеи, потеря фокуса	Пользователь сначала придумывает только припев или одну сильную строку / главный музыкальный момент
Спасти демку	Когда не получается написать аранжировку	Накопление брошенных демок, потеря смысла проекта, страх незавершённости	Пользователь открывает старый проект и отвечает на 3 вопроса: что уже работает, что мешает, какой один шаг нужен дальше
Убери 30%	Когда демка перегружена и из-за этого непонятна структура и не получается написать аранжировку	Перегруз аранжировки, слабый фокус, ощущение “слишком много всего”	Нужно удалить примерно треть элементов и посмотреть, не стал ли трек работать лучше
Убери самый очевидный элемент	Когда не получается написать аранжировку	Зависимость от одного решения, слабый скелет трека, шаблонность	Удаляется главный синт, бас, хук или бит, и нужно попробовать собрать версию без него
